TEAMID,INDEX,STATUS,DEPTH,FIRST,LAST,SKIN,NUMBER,Height,Weight,POS,AWARE,SPEED,TLK BRK,FUMBLE,CATCH,RTRN,PAS BLK,RUN BLK,THR PWR,THR ACC,KCK PWR,KCK ACC,BLK SHD,PAS RSH,TACKLE,HIT PWR,M COV,Z COV,FITNESS,DISCIPLINE,POTENTIAL,VISOR,SLEEVES,BANDS,WRAPS,AGE,PORTRAIT
1,46,Active,3,Wyatt,Geer,1,50,77,246,OLB,57,66,18,15,55,24,28,43,20,13,6,8,58,68,62,48,65,55,63,84,99,1,0,0,0,22,12
1,47,Active,4,Isiah,Mcmillian,5,55,74,239,OLB,53,65,17,9,35,24,31,19,9,13,8,9,54,67,68,59,60,49,68,85,99,1,1,0,0,19,28
1,48,Active,3,Marvin,Rembert,5,58,73,240,MLB,51,66,26,30,46,24,13,5,13,13,19,22,63,69,70,56,66,52,71,63,99,0,0,0,0,19,37
1,49,Active,4,Cesar,Oceguera,3,57,74,239,MLB,55,64,13,5,44,28,18,24,21,8,17,27,58,66,57,69,56,67,62,82,99,0,1,0,0,21,60
1,50,Active,5,Roderick,Royster,5,29,71,205,DB,45,80,17,22,56,36,41,17,5,12,5,13,46,29,65,61,52,55,64,74,99,1,1,0,0,19,94
1,51,Active,2,Alan,Loy,1,28,73,199,SS,63,77,24,24,40,32,16,23,8,9,10,19,44,30,51,63,69,60,73,79,99,1,1,0,0,20,69
1,52,Active,2,Antonio,Valenzuela,3,30,69,189,FS,46,89,9,25,60,47,49,6,15,20,10,20,40,30,56,50,55,56,66,79,99,0,1,0,0,22,63
2,53,Active,1,Frank,Barham,1,15,72,186,QB,83,69,27,30,10,30,35,33,75,77,8,27,14,26,13,5,19,13,70,66,99,0,0,0,0,22,11
2,54,Active,1,Deandra,Spikes,5,24,72,231,RB,74,84,61,78,62,54,52,20,6,23,20,27,20,8,5,7,20,30,62,78,99,1,1,0,0,21,86
2,55,Active,1,Demond,Partee,5,36,75,232,FB,58,76,71,70,62,61,68,54,9,5,11,28,26,13,10,36,18,18,73,83,99,0,0,0,0,20,53
2,56,Active,1,Geoff,Macgregor,1,16,73,197,WR,77,88,29,50,48,59,22,49,46,48,17,5,14,5,17,19,29,11,70,68,99,1,1,0,0,20,76
2,57,Active,2,Fletcher,Lathan,5,10,73,211,WR,53,85,31,52,70,66,27,43,24,13,11,23,8,22,33,13,5,12,72,86,99,1,0,0,0,19,92
2,58,Active,3,Reggie,Lyles,5,11,70,196,WR,54,89,48,44,61,46,20,50,18,17,14,14,8,11,13,22,5,6,77,84,99,0,0,0,0,22,51
2,59,Active,4,Foster,Randle,5,2,72,172,WR,54,82,33,40,73,45,20,45,38,49,6,8,14,18,27,11,5,15,72,63,99,1,1,0,0,22,24
2,60,Active,5,Derick,Wyche,5,17,73,171,WR,56,88,43,49,54,45,19,49,48,32,6,20,22,7,7,23,21,27,73,67,99,1,1,0,0,19,10
2,61,Active,1,Geoff,Seeley,1,83,76,245,TE,72,65,59,47,61,61,71,61,15,21,16,15,10,18,15,14,19,5,68,74,99,0,0,0,0,20,59
2,62,Active,1,Kris,Wolcott,1,62,76,336,LT,61,47,20,5,7,5,77,61,16,8,23,16,7,14,18,15,5,5,72,87,99,0,0,0,0,20,35
2,63,Active,1,Roy,Reeder,1,76,77,315,LG,67,59,17,5,6,5,65,65,20,7,7,7,10,16,17,35,18,17,65,86,99,0,0,0,0,21,83
2,64,Active,1,Devonte,Bowie,5,66,77,321,C,73,54,10,5,12,15,74,60,15,15,14,16,21,13,14,6,5,16,72,77,99,0,0,0,0,21,17
2,65,Active,1,Davis,Stowe,1,79,79,316,RG,69,58,15,8,8,13,70,75,18,20,17,7,12,25,12,24,7,19,77,72,99,0,0,0,0,22,37
2,66,Active,1,Angelo,Beckwith,1,72,75,339,RT,55,57,8,11,13,18,72,77,19,6,5,15,5,10,19,23,17,19,78,67,99,0,0,0,0,19,39
2,67,Active,1,Ernest,Cheeks,5,99,79,270,DE,53,64,5,5,24,29,38,29,5,6,5,5,73,71,71,72,7,14,66,74,99,0,0,0,0,20,57
2,68,Active,1,Andres,Ochoa,3,92,77,305,DT,68,65,9,12,15,9,30,48,16,19,5,17,68,71,67,62,24,8,68,73,99,0,0,0,0,20,25
2,69,Active,2,Dion,Dingle,5,97,74,338,DT,56,63,15,15,9,21,55,20,9,5,5,22,71,70,66,72,15,18,65,61,99,0,0,0,0,20,94
2,70,Active,2,Hiram,Diez,3,91,78,296,DE,67,66,28,25,23,18,18,14,14,8,5,5,71,73,53,68,19,19,70,73,99,0,0,0,0,21,34
2,71,Active,1,Allan,Ruth,1,58,76,242,OLB,71,67,26,31,36,26,25,26,5,9,23,11,63,61,69,57,66,49,70,59,99,0,0,0,0,21,30
2,72,Active,1,Alvin,Dortch,5,55,74,232,MLB,68,70,40,34,34,18,41,10,7,14,11,19,65,57,60,66,57,66,67,77,99,1,1,0,0,22,14
2,73,Active,2,Ivory,Tunstall,5,50,76,239,OLB,54,70,38,9,48,36,43,7,8,5,5,6,67,70,67,59,64,70,63,84,99,0,0,0,0,22,23
2,74,Active,2,Tyrone,Scales,5,56,73,255,MLB,70,64,16,11,36,49,5,21,23,19,18,27,53,54,60,53,55,69,58,81,99,0,1,0,0,22,18
2,75,Active,1,Marques,Alston,5,26,72,219,DB,58,89,30,5,49,30,21,6,9,13,14,19,42,29,62,53,64,68,76,77,99,1,1,0,0,19,77
2,76,Active,1,Channing,Beckford,5,30,72,190,SS,62,82,15,24,42,34,43,28,10,13,12,17,42,19,60,55,63,52,72,71,99,1,0,0,0,19,47
2,77,Active,1,Felix,Vega,3,38,71,194,FS,65,83,8,5,51,30,23,5,12,19,20,18,37,38,61,59,62,62,78,63,99,1,0,0,0,22,59
2,78,Active,2,Jamarcus,Eady,5,0,76,201,DB,46,88,5,8,61,41,6,23,18,5,22,5,46,35,66,47,67,72,78,72,99,1,1,0,0,21,19
2,79,Active,3,Shaun,Fender,1,37,71,177,DB,47,84,10,13,45,44,28,10,14,5,5,25,42,28,66,52,68,70,67,85,99,0,1,0,0,20,21
2,80,Active,4,Chris,Welborn,1,33,75,199,DB,67,86,11,26,46,34,38,20,7,16,20,11,44,24,50,53,58,54,66,89,99,1,0,0,0,19,4
2,81,Active,1,Rickey,Piper,1,18,70,188,K,76,58,6,5,14,15,14,6,39,20,72,68,5,5,14,9,18,7,77,70,99,0,0,0,0,19,10
2,82,Active,1,Chance,Forster,1,14,75,183,P,73,56,18,13,5,19,17,18,12,40,82,68,5,18,5,18,5,14,68,71,99,0,1,0,0,21,64
2,83,Active,2,Travis,Mcconnell,1,13,71,190,QB,79,66,17,14,25,12,20,13,71,61,10,8,5,5,8,20,14,12,79,71,99,0,0,0,0,22,24
2,84,Active,3,Anton,Ruggles,1,5,72,202,QB,69,62,26,24,29,24,32,15,65,67,7,29,23,21,7,7,6,11,75,77,99,0,1,0,0,19,78
2,85,Active,2,Domonique,Rembert,5,20,71,193,RB,62,77,63,77,52,63,47,28,15,27,5,25,5,5,6,14,31,26,82,71,99,0,1,0,0,22,99
2,86,Active,3,Cleveland,Bazemore,5,27,69,192,RB,60,83,59,58,48,67,44,20,13,22,9,23,22,10,24,19,5,6,77,75,99,1,1,0,0,20,26
2,87,Active,6,Emmett,Middlebrooks,5,0,75,208,WR,65,78,51,39,55,46,21,40,14,13,25,21,17,19,26,21,7,5,68,72,99,1,0,0,0,20,82
2,88,Active,2,Marquise,Eaddy,5,85,73,239,TE,63,65,54,50,56,52,70,62,15,5,10,5,24,5,28,23,16,5,65,76,99,0,1,0,0,21,17
2,89,Active,3,Lowell,Money,1,87,74,241,TE,50,68,55,51,55,55,69,60,6,22,17,20,7,6,17,10,17,5,85,63,99,0,0,0,0,20,47
2,90,Active,2,Sherman,Mosely,5,63,79,309,LT,66,52,5,20,5,25,60,64,6,11,13,21,21,8,16,5,5,17,63,80,99,0,0,0,0,19,9
2,91,Active,2,Andre,Blanks,5,75,77,308,LG,42,51,23,9,9,19,73,71,16,15,15,25,5,15,6,30,23,13,73,74,99,0,0,0,0,19,41
2,92,Active,2,Leigh,Hutchings,1,78,78,306,C,46,61,15,5,20,18,77,66,19,21,14,13,20,21,17,5,5,14,70,72,99,0,0,0,0,21,36
2,93,Active,2,Scotty,Novak,1,70,79,315,RG,52,57,22,8,19,9,67,60,14,15,5,15,11,17,6,14,15,5,79,77,99,0,0,0,0,19,53
2,94,Active,3,Darrius,Bowie,5,98,75,301,DE,64,59,14,25,7,28,19,7,10,12,12,5,62,60,70,68,11,5,73,70,99,0,0,0,0,22,49
2,95,Active,4,Odell,Nevels,5,95,76,310,DE,63,65,11,5,6,5,46,13,15,22,18,19,62,64,70,51,14,5,66,63,99,0,0,0,0,22,4
2,96,Active,5,Joe,Macon,5,94,78,279,DE,53,66,25,9,29,14,48,24,13,13,5,5,69,59,56,65,18,12,68,77,99,0,0,0,0,21,6
2,97,Active,6,Bryant,Epps,5,93,77,263,DE,53,57,5,19,18,31,9,5,13,10,5,20,57,62,55,65,12,22,72,66,99,0,0,0,0,21,32
2,98,Active,3,Franklin,Simons,1,90,79,311,DT,67,55,5,16,14,13,54,14,6,16,11,14,67,64,65,49,10,8,60,77,99,0,0,0,0,22,97
2,99,Active,3,Ronnie,Witherspoon,5,59,74,255,OLB,64,66,12,13,49,43,30,31,8,5,7,18,53,68,69,59,60,47,73,84,99,0,1,0,0,20,93
2,100,Active,4,Charles,Kuykendall,1,53,74,245,OLB,65,69,23,33,46,34,20,29,15,6,5,7,54,58,59,49,47,68,68,84,99,1,1,0,0,20,28
2,101,Active,3,Omar,Braxton,5,51,73,237,MLB,48,67,40,5,55,39,5,27,7,11,26,21,60,52,68,66,69,49,61,83,99,0,1,0,0,19,0
2,102,Active,4,Edwin,Mahaffey,1,57,75,238,MLB,59,73,12,24,45,41,15,28,16,5,12,5,68,53,57,48,48,55,71,69,99,0,0,0,0,22,18
2,103,Active,5,Tommy,Moskowitz,1,31,75,179,DB,64,83,9,20,56,37,10,7,13,18,9,14,44,38,50,47,52,66,68,68,99,0,1,0,0,19,17
2,104,Active,2,Ivan,Munoz,3,23,70,190,SS,51,80,12,28,49,30,50,10,25,9,5,9,53,23,64,51,60,57,80,83,99,1,1,0,0,20,15
2,105,Active,2,Darnell,Tunstall,5,39,73,200,FS,58,83,28,20,56,44,30,5,5,5,19,7,37,27,56,48,69,52,69,66,99,0,0,0,0,20,42
3,106,Active,1,Jude,Zimmerman,1,17,75,189,QB,83,66,18,13,19,18,20,21,73,76,5,28,21,19,8,15,16,16,64,80,99,0,0,0,0,22,38
3,107,Active,1,Adrian,Billups,5,35,70,237,RB,70,88,61,73,64,50,45,26,17,5,24,26,20,6,5,13,13,27,68,70,99,0,1,0,0,19,79
3,108,Active,1,Justin,Jewell,1,30,71,239,FB,52,69,71,63,62,56,70,34,16,21,6,22,38,28,17,17,13,19,74,80,99,0,0,0,0,19,17
3,109,Active,1,Benny,Soper,1,10,72,220,WR,53,85,33,47,59,72,21,49,20,38,19,17,5,5,5,5,28,26,70,75,99,0,0,0,0,20,59
3,110,Active,2,Keenan,Myles,5,12,74,187,WR,65,81,41,52,51,72,17,39,16,31,12,11,5,5,12,10,14,14,71,74,99,0,1,0,0,19,59
3,111,Active,3,Ernest,Thorne,1,16,75,198,WR,56,81,42,35,68,44,19,47,33,44,40,5,19,10,28,23,9,6,68,73,99,1,0,0,0,20,73
3,112,Active,4,Cedrick,Rankins,5,82,69,186,WR,45,81,24,40,70,55,23,38,36,40,22,15,13,17,34,22,12,24,66,79,99,1,1,0,0,21,50
3,113,Active,5,Dalton,Fike,1,2,75,221,WR,52,82,23,37,49,64,23,43,14,24,9,12,22,12,31,5,25,19,74,74,99,0,0,0,0,20,87
3,114,Active,1,Jon,Oldham,1,84,74,251,TE,70,68,51,50,64,60,61,67,7,24,5,17,16,16,31,26,13,13,76,73,99,0,0,0,0,19,93
3,115,Active,1,Tyree,Nevels,5,72,76,300,LT,64,52,10,5,5,19,80,68,17,8,5,21,20,15,17,34,17,17,63,76,99,0,0,0,0,19,4
3,116,Active,1,Branden,Stockman,1,77,76,334,LG,68,62,12,21,15,18,70,70,27,13,9,26,7,10,20,19,15,8,68,68,99,0,0,0,0,20,37
3,117,Active,1,Carlos,Guaman,3,71,77,312,C,63,56,5,17,5,6,76,60,18,15,6,14,6,8,17,11,17,10,63,82,99,0,0,0,0,21,67
3,118,Active,1,Lewis,Mcdevitt,1,64,78,325,RG,72,56,9,17,8,7,72,74,10,10,5,18,15,13,9,5,16,16,58,70,99,0,0,0,0,21,55
3,119,Active,1,Tommie,Brockington,5,75,76,331,RT,56,53,18,14,20,12,69,63,11,9,5,5,10,18,17,21,12,14,61,76,99,0,0,0,0,22,37
3,120,Active,1,Garrett,Workman,1,90,77,310,DE,72,71,32,18,14,20,22,8,21,7,22,21,70,68,66,54,9,22,70,64,99,0,0,0,0,20,61
3,121,Active,1,Desmond,Jiles,5,97,79,323,DT,69,56,21,22,6,24,29,21,21,10,6,6,59,63,71,57,23,6,67,84,99,0,0,0,0,20,41
3,122,Active,2,Amari,Bracey,5,93,76,322,DT,65,64,11,14,21,10,22,7,5,15,12,15,58,61,61,48,5,10,59,82,99,0,0,0,0,19,16
3,123,Active,2,Peter,Peters,1,98,79,308,DE,75,62,5,13,14,22,26,21,9,17,18,10,64,62,70,53,9,14,70,70,99,0,0,0,0,22,29
3,124,Active,1,Howard,Culver,1,59,75,250,OLB,56,72,33,18,41,49,17,43,18,5,5,9,70,52,66,67,62,66,62,64,99,1,1,0,0,20,7
3,125,Active,1,Rupert,Smalls,5,57,76,250,MLB,63,75,25,25,36,30,32,39,13,21,20,10,65,70,70,64,63,63,71,66,99,0,1,0,0,22,29
3,126,Active,2,Marion,Merritt,1,51,77,268,OLB,66,71,7,5,48,19,5,37,16,11,15,8,66,56,59,61,57,68,73,82,99,0,0,0,0,22,1
3,127,Active,2,Jarvis,Jemison,5,50,77,241,MLB,67,70,11,25,55,12,38,5,7,5,20,6,67,52,62,50,63,69,72,84,99,1,1,0,0,21,81
3,128,Active,1,Cyrus,Hardaway,5,28,72,180,DB,71,78,14,23,51,30,30,5,8,18,9,5,45,26,64,60,56,70,77,74,99,0,0,0,0,22,46
3,129,Active,1,Kendall,Threatt,5,21,72,222,SS,62,82,13,24,37,42,6,13,22,18,5,13,37,50,64,65,60,63,73,78,99,1,1,0,0,22,83
3,130,Active,1,Nigel,Smalls,5,26,71,186,FS,60,78,24,30,57,31,6,11,17,15,22,5,40,30,59,49,70,56,81,86,99,1,1,0,0,19,10
3,131,Active,2,Lincoln,Hartfield,5,24,75,192,DB,65,83,10,17,50,50,13,13,17,15,10,21,44,28,66,51,71,61,70,74,99,1,0,0,0,21,56
3,132,Active,3,London,Battle,5,25,76,185,DB,55,86,20,25,37,28,9,13,5,5,21,20,42,50,55,52,70,60,74,75,99,0,0,0,0,19,2
3,133,Active,4,Mervyn,Upshaw,5,39,73,200,DB,53,88,26,5,48,32,5,9,9,20,22,12,40,47,55,48,61,54,70,76,99,1,1,0,0,22,54
3,134,Active,1,Martin,Spooner,1,15,73,205,K,74,44,9,8,13,15,5,14,27,39,77,71,9,5,20,5,5,12,66,83,99,0,0,0,0,22,78
3,135,Active,1,Jonathan,Wrenn,1,19,75,217,P,69,44,6,5,5,5,24,6,32,37,71,81,9,7,12,6,13,6,64,66,99,0,1,0,0,21,83
3,136,Active,2,Jeremiah,Duvall,1,13,75,217,QB,75,67,27,18,6,11,29,29,70,58,19,21,19,5,5,6,11,7,59,67,99,0,0,0,0,21,92
3,137,Active,3,Gregg,Settle,1,11,75,185,QB,57,53,18,28,31,13,27,40,63,65,22,25,16,21,21,8,11,23,72,78,99,0,0,0,0,21,61
3,138,Active,2,Brett,Hamby,1,27,74,209,RB,56,83,71,66,56,54,52,20,14,31,18,34,6,9,22,12,9,17,60,69,99,0,1,0,0,22,43
3,139,Active,3,Randolph,Rayford,5,22,70,240,RB,48,80,70,55,47,67,47,18,5,17,6,36,20,11,19,9,9,34,62,71,99,0,0,0,0,20,65
3,140,Active,6,Mervyn,Pride,5,18,76,215,WR,64,78,22,37,56,43,26,47,38,27,30,27,21,21,25,22,22,5,63,81,99,1,0,0,0,20,77
3,141,Active,2,Chad,Huntington,1,89,79,240,TE,77,69,49,48,62,59,56,67,5,16,24,6,9,25,32,22,14,20,64,72,99,0,1,0,0,22,45
3,142,Active,3,Thomas,Roney,1,87,78,254,TE,68,64,53,47,64,64,54,62,11,5,15,20,13,19,5,6,5,9,82,70,99,0,1,0,0,20,68
3,143,Active,2,Julio,Campa,3,78,75,310,LT,44,56,27,14,16,21,62,62,5,14,7,11,23,5,19,5,12,20,75,71,99,0,0,0,0,20,78
3,144,Active,2,John,Huffman,1,70,76,323,LG,47,52,14,18,13,13,63,62,20,5,14,16,13,11,5,34,5,13,65,75,99,0,0,0,0,20,47
3,145,Active,2,Leonard,Monk,1,76,78,311,C,62,61,11,11,22,13,70,64,22,5,16,6,14,21,13,9,24,8,72,77,99,0,0,0,0,20,63
3,146,Active,2,Edwin,Mccollum,1,62,74,309,RG,49,52,9,9,10,5,67,63,6,14,5,9,5,17,6,5,14,5,59,67,99,0,0,0,0,19,50
3,147,Active,3,Raul,Gloria,3,91,77,280,DE,65,65,6,5,29,31,32,20,19,15,5,18,75,70,61,61,8,14,71,82,99,0,0,0,0,22,98
3,148,Active,4,Isaac,Beamon,5,95,76,264,DE,61,55,8,15,6,5,48,11,18,7,5,10,70,58,64,60,13,23,72,82,99,0,0,0,0,20,79
3,149,Active,5,Val,Cornwell,1,96,79,305,DE,54,68,6,9,21,9,22,7,15,5,18,11,72,71,59,55,6,5,64,73,99,0,0,0,0,21,1
3,150,Active,6,Jovan,Partee,5,94,77,308,DE,54,51,20,18,7,23,42,9,17,16,10,8,59,65,56,47,9,17,63,81,99,0,0,0,0,19,40
3,151,Active,3,Ulysses,Fairley,5,92,76,300,DT,66,55,22,5,16,11,28,25,13,16,15,22,64,63,56,49,6,18,72,62,99,0,0,0,0,21,84
3,152,Active,3,Antwon,Rembert,5,58,73,247,OLB,56,75,39,28,47,23,25,24,6,6,5,14,62,68,61,70,56,48,69,81,99,0,0,0,0,22,74
3,153,Active,4,Darien,Armstead,5,52,75,269,OLB,53,68,22,27,37,18,9,40,20,10,22,16,53,67,60,61,66,50,69,84,99,0,1,0,0,19,10
3,154,Active,3,Tyree,Upshaw,5,55,74,249,MLB,65,64,11,7,40,46,6,15,15,5,9,19,56,62,70,50,56,62,69,65,99,1,1,0,0,20,66
3,155,Active,4,Derrell,Moton,5,53,75,239,MLB,57,70,15,22,41,31,14,13,13,17,19,7,61,62,64,58,53,64,68,73,99,0,0,0,0,19,47
3,156,Active,5,Emmett,Overman,1,34,73,215,DB,45,81,11,6,57,41,7,18,5,19,6,22,44,46,49,49,65,64,75,80,99,1,0,0,0,20,82
3,157,Active,2,Everette,Samuels,5,33,70,197,SS,52,81,25,5,40,35,20,5,15,22,7,6,42,41,55,64,66,57,71,83,99,1,1,0,0,21,85
3,158,Active,2,Eugene,Jamerson,5,37,71,175,FS,45,78,9,8,56,41,31,16,16,5,5,5,39,29,59,48,69,65,75,69,99,0,0,0,0,19,73
4,159,Active,1,Darrel,Hudak,1,19,78,233,QB,76,86,18,17,14,34,41,14,80,78,22,22,6,10,16,16,8,10,73,73,99,0,1,0,0,22,74
4,160,Active,1,Everette,Scales,5,31,71,235,RB,85,85,76,67,68,67,50,25,18,20,28,31,26,26,23,10,15,20,73,71,99,1,1,0,0,21,67
